Instance,Memory (GiB),Processor,vCPUs,CPU cores,Threads per core,Accelerator count,Accelerators,Accelerator memory
c7i-flex.large,4.00,Intel Xeon Sapphire Rapids,2,1,2,None,None,None
c7i-flex.xlarge,8.00,Intel Xeon Sapphire Rapids,4,2,2,None,None,None
c7i-flex.2xlarge,16.00,Intel Xeon Sapphire Rapids,8,4,2,None,None,None
c7i-flex.4xlarge,32.00,Intel Xeon Sapphire Rapids,16,8,2,None,None,None
c7i-flex.8xlarge,64.00,Intel Xeon Sapphire Rapids,32,16,2,None,None,None
c7i-flex.12xlarge,96.00,Intel Xeon Sapphire Rapids,48,24,2,None,None,None
c7i-flex.16xlarge,128.00,Intel Xeon Sapphire Rapids,64,32,2,None,None,None
c8g.medium,2.00,AWS Graviton4 Processor,1,1,1,None,None,None
c8g.large,4.00,AWS Graviton4 Processor,2,2,1,None,None,None
c8g.xlarge,8.00,AWS Graviton4 Processor,4,4,1,None,None,None
c8g.2xlarge,16.00,AWS Graviton4 Processor,8,8,1,None,None,None
c8g.4xlarge,32.00,AWS Graviton4 Processor,16,16,1,None,None,None
c8g.8xlarge,64.00,AWS Graviton4 Processor,32,32,1,None,None,None
c8g.12xlarge,96.00,AWS Graviton4 Processor,48,48,1,None,None,None
c8g.16xlarge,128.00,AWS Graviton4 Processor,64,64,1,None,None,None
c8g.24xlarge,192.00,AWS Graviton4 Processor,96,96,1,None,None,None
c8g.48xlarge,384.00,AWS Graviton4 Processor,192,192,1,None,None,None
c8g.metal-24xl,192.00,AWS Graviton4 Processor,96,96,1,None,None,None
c8g.metal-48xl,384.00,AWS Graviton4 Processor,192,192,1,None,None,None
c8gd.medium,2.00,AWS Graviton4 Processor,1,1,1,None,None,None
c8gd.large,4.00,AWS Graviton4 Processor,2,2,1,None,None,None
c8gd.xlarge,8.00,AWS Graviton4 Processor,4,4,1,None,None,None
c8gd.2xlarge,16.00,AWS Graviton4 Processor,8,8,1,None,None,None
c8gd.4xlarge,32.00,AWS Graviton4 Processor,16,16,1,None,None,None
c8gd.8xlarge,64.00,AWS Graviton4 Processor,32,32,1,None,None,None
c8gd.12xlarge,96.00,AWS Graviton4 Processor,48,48,1,None,None,None
c8gd.16xlarge,128.00,AWS Graviton4 Processor,64,64,1,None,None,None
c8gd.24xlarge,192.00,AWS Graviton4 Processor,96,96,1,None,None,None
c8gd.48xlarge,384.00,AWS Graviton4 Processor,192,192,1,None,None,None
c8gd.metal-24xl,192.00,AWS Graviton4 Processor,96,96,1,None,None,None
c8gd.metal-48xl,384.00,AWS Graviton4 Processor,192,192,1,None,None,None
c8gn.medium,2.00,AWS Graviton4 Processor,1,1,1,None,None,None
c8gn.large,4.00,AWS Graviton4 Processor,2,2,1,None,None,None
c8gn.xlarge,8.00,AWS Graviton4 Processor,4,4,1,None,None,None
c8gn.2xlarge,16.00,AWS Graviton4 Processor,8,8,1,None,None,None
c8gn.4xlarge,32.00,AWS Graviton4 Processor,16,16,1,None,None,None
c8gn.8xlarge,64.00,AWS Graviton4 Processor,32,32,1,None,None,None
c8gn.12xlarge,96.00,AWS Graviton4 Processor,48,48,1,None,None,None
c8gn.16xlarge,128.00,AWS Graviton4 Processor,64,64,1,None,None,None
c8gn.24xlarge,192.00,AWS Graviton4 Processor,96,96,1,None,None,None
c8gn.48xlarge,384.00,AWS Graviton4 Processor,192,192,1,None,None,None
c8gn.metal-24xl,192.00,AWS Graviton4 Processor,96,96,1,None,None,None
c8gn.metal-48xl,384.00,AWS Graviton4 Processor,192,192,1,None,None,None
c8i.large,4.00,Intel Xeon Granite Rapids,2,1,2,None,None,None
c8i.xlarge,8.00,Intel Xeon Granite Rapids,4,2,2,None,None,None
c8i.2xlarge,16.00,Intel Xeon Granite Rapids,8,4,2,None,None,None
c8i.4xlarge,32.00,Intel Xeon Granite Rapids,16,8,2,None,None,None
c8i.8xlarge,64.00,Intel Xeon Granite Rapids,32,16,2,None,None,None
c8i.12xlarge,96.00,Intel Xeon Granite Rapids,48,24,2,None,None,None
c8i.16xlarge,128.00,Intel Xeon Granite Rapids,64,32,2,None,None,None
c8i.24xlarge,192.00,Intel Xeon Granite Rapids,96,48,2,None,None,None
c8i.32xlarge,256.00,Intel Xeon Granite Rapids,128,64,2,None,None,None
c8i.48xlarge,384.00,Intel Xeon Granite Rapids,192,96,2,None,None,None
c8i.96xlarge,768.00,Intel Xeon Granite Rapids,384,192,2,None,None,None
c8i.metal-48xl,384.00,Intel Xeon Granite Rapids,192,96,2,None,None,None
c8i.metal-96xl,768.00,Intel Xeon Granite Rapids,384,192,2,None,None,None
c8i-flex.large,4.00,Intel Xeon Granite Rapids,2,1,2,None,None,None
c8i-flex.xlarge,8.00,Intel Xeon Granite Rapids,4,2,2,None,None,None
c8i-flex.2xlarge,16.00,Intel Xeon Granite Rapids,8,4,2,None,None,None
c8i-flex.4xlarge,32.00,Intel Xeon Granite Rapids,16,8,2,None,None,None
c8i-flex.8xlarge,64.00,Intel Xeon Granite Rapids,32,16,2,None,None,None
c8i-flex.12xlarge,96.00,Intel Xeon Granite Rapids,48,24,2,None,None,None
c8i-flex.16xlarge,128.00,Intel Xeon Granite Rapids,64,32,2,None,None,None
