,_index,uid,instance_type,instance_category,instance_generation,release_month,release_year,product_page,announcement_url,date,Instance,Memory (GiB),Processor,vCPUs,CPU cores,Threads per core,Accelerator count,Accelerators,Accelerator memory,category
47,56,26f50bfb45fdce8e,x1.32xlarge,Memory Optimized,Current generation,May,2016,https://aws.amazon.com/ec2/instance-types/x1/,https://aws.amazon.com/about-aws/whats-new/2016/05/now-available-x1-instances-the-largest-amazon-ec2-memory-optimized-instance-with-2-tb-of-memory/,2016-05-01,x1.32xlarge,1952.0,Intel Xeon E7 8880 v3,128,64,2,,,,memory
48,57,2e123bf9c15a31cd,m4.16xlarge,General Purpose,Previous generation,September,2016,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2016/09/introducing-new-m4-instance-size-m4-16xlarge-and-new-region-availability-of-m4-instances/,2016-09-01,m4.16xlarge,256.0,Intel Xeon E5-2686v4,64,32,2,,,,previous
49,58,5814625a9f0bbae7,p2.xlarge,Accelerated Computing,Previous generation,September,2016,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2016/09/introducing-amazon-ec2-p2-instances-the-largest-gpu-powered-virtual-machine-in-the-cloud/,2016-09-01,p2.xlarge,61.0,Intel Xeon E5-2686v4,4,2,2,1.0,NVIDIA K80 GPU,12.0,previous
50,59,3228ce5b326c49d8,p2.8xlarge,Accelerated Computing,Previous generation,September,2016,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2016/09/introducing-amazon-ec2-p2-instances-the-largest-gpu-powered-virtual-machine-in-the-cloud/,2016-09-01,p2.8xlarge,488.0,Intel Xeon E5-2686v4,32,16,2,8.0,NVIDIA K80 GPU,96.0,previous
51,60,fef30902a8ab2544,p2.16xlarge,Accelerated Computing,Previous generation,September,2016,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2016/09/introducing-amazon-ec2-p2-instances-the-largest-gpu-powered-virtual-machine-in-the-cloud/,2016-09-01,p2.16xlarge,732.0,Intel Xeon E5-2686v4,64,32,2,16.0,NVIDIA K80 GPU,192.0,previous
52,61,b6d709b6322da53b,x1.16xlarge,Memory Optimized,Current generation,October,2016,https://aws.amazon.com/ec2/instance-types/x1/,https://aws.amazon.com/about-aws/whats-new/2016/10/introducing-new-amazon-ec2-c1-instance-size-x1-16xlarge-and-expansion-of-x1-instances-to-new-regions/,2016-10-01,x1.16xlarge,976.0,Intel Xeon E7 8880 v3,64,32,2,,,,memory
53,62,652f383b861de418,c5.large,Compute Optimized,Current generation,November,2017,https://aws.amazon.com/ec2/instance-types/c5/,https://aws.amazon.com/about-aws/whats-new/2017/11/introducing-amazon-ec2-c5-instances-the-next-generation-of-compute-optimized-instances/,2017-11-01,c5.large,4.0,Intel Xeon Platinum 8124M,2,1,2,,,,compute
54,63,09a369df03a416bf,c5.xlarge,Compute Optimized,Current generation,November,2017,https://aws.amazon.com/ec2/instance-types/c5/,https://aws.amazon.com/about-aws/whats-new/2017/11/introducing-amazon-ec2-c5-instances-the-next-generation-of-compute-optimized-instances/,2017-11-01,c5.xlarge,8.0,Intel Xeon Platinum 8124M,4,2,2,,,,compute
55,64,bf6b93e5295a6029,c5.2xlarge,Compute Optimized,Current generation,November,2017,https://aws.amazon.com/ec2/instance-types/c5/,https://aws.amazon.com/about-aws/whats-new/2017/11/introducing-amazon-ec2-c5-instances-the-next-generation-of-compute-optimized-instances/,2017-11-01,c5.2xlarge,16.0,Intel Xeon Platinum 8124M,8,4,2,,,,compute
56,65,37b8723bd0cb65a8,c5.4xlarge,Compute Optimized,Current generation,November,2017,https://aws.amazon.com/ec2/instance-types/c5/,https://aws.amazon.com/about-aws/whats-new/2017/11/introducing-amazon-ec2-c5-instances-the-next-generation-of-compute-optimized-instances/,2017-11-01,c5.4xlarge,32.0,Intel Xeon Platinum 8124M,16,8,2,,,,compute
